t_s,sinal_filtrado,janela,classificacao,class_bin
23.204,9.36737516901958e-06,200,0,0
23.206,1.0369838350101952e-05,200,0,0
23.208,1.1200703106936108e-05,200,0,0
23.21,1.1817091995507744e-05,200,0,0
23.212,1.2178166523717354e-05,200,0,0
23.214,1.2248111805682544e-05,200,0,0
23.216,1.1999062138020262e-05,200,0,0
23.218,1.1413649432231803e-05,200,0,0
23.22,1.048689704046256e-05,200,0,0
23.222,9.227294652325712e-06,200,0,0
23.224,7.65703387996527e-06,200,0,0
23.226,5.811490560987169e-06,200,0,0
23.228,3.738074430435112e-06,200,0,0
23.23,1.4945578942917785e-06,200,0,0
23.232,-8.530078734563917e-07,200,0,0
23.234,-3.232667599292712e-06,200,0,0
23.236,-5.569099872455721e-06,200,0,0
23.238,-7.786211895798559e-06,200,0,0
23.24,-9.809720502664035e-06,200,0,0
23.242,-1.156967149918732e-05,200,0,0
23.244,-1.3002839916582631e-05,200,0,0
23.246,-1.4054923287733028e-05,200,0,0
23.248,-1.4682418762044288e-05,200,0,0
23.25,-1.4854080396832502e-05,200,0,0
23.252,-1.4551881794710972e-05,200,0,0
23.254,-1.377145284810315e-05,200,0,0
23.256,-1.2522010289862712e-05,200,0,0
23.258,-1.0825845187063788e-05,200,0,0
23.26,-8.717443722420184e-06,200,0,0
23.262,-6.242290533718949e-06,200,0,0
23.264,-3.4553600010317862e-06,200,0,0
23.266,-4.192815533610986e-07,200,0,0
23.268,2.797810440458183e-06,200,0,0
23.27,6.124678585171209e-06,200,0,0
23.272,9.48952072342426e-06,200,0,0
23.274,1.282250397285804e-05,200,0,0
23.276,1.6058163481399456e-05,200,0,0
23.278,1.913756269577326e-05,200,0,0
23.28,2.2010137573964256e-05,200,0,0
23.282,2.4635171102071307e-05,200,0,0
23.284,2.6982877278985103e-05,200,0,0
23.286,2.903510873226639e-05,200,0,0
23.288,3.0785715670598085e-05,200,0,0
23.29,3.224056287645154e-05,200,0,0
23.292,3.341717296823919e-05,200,0,0
23.294,3.434393571720227e-05,200,0,0
23.296,3.5058809905174714e-05,200,0,0
23.298,3.560744160073507e-05,200,0,0
23.3,3.604065015896052e-05,200,0,0
23.302,3.6411314033856496e-05,200,0,0
23.304,3.677080535508683e-05,200,0,0
23.306,3.716522831949001e-05,200,0,0
23.308,3.763178029790843e-05,200,0,0
23.31,3.819556852415733e-05,200,0,0
23.312,3.886717930298918e-05,200,0,0
23.314,3.964122228404545e-05,200,0,0
23.316,4.049598967199833e-05,200,0,0
23.318,4.139430575573728e-05,200,0,0
23.32,4.228559011240948e-05,200,0,0
23.322,4.3109090521431845e-05,200,0,0
23.324,4.379814422312944e-05,200,0,0
23.326,4.428520675767016e-05,200,0,0
23.328,4.450726504309645e-05,200,0,0
23.33,4.4411155583829605e-05,200,0,0
23.332,4.395827986886876e-05,200,0,0
23.334,4.312827025968014e-05,201,0,0
23.336,4.192129419018317e-05,201,0,0
23.338,4.0358847888647336e-05,201,0,0
23.34,3.848303876901018e-05,201,0,0
23.342,3.635446567831499e-05,201,0,0
23.344,3.404888704272786e-05,201,0,0
23.346,3.165293877861997e-05,201,0,0
23.348,2.9259224415344274e-05,201,0,0
23.35,2.6961125382361223e-05,201,0,0
23.352,2.484765980785277e-05,201,0,0
23.354,2.299867579892597e-05,201,0,0
23.356,2.1480629363836045e-05,201,0,0
23.358,2.0343167963972383e-05,201,0,0
23.36,1.961669423963184e-05,201,0,0
23.362,1.9311011536643696e-05,201,0,0
23.364,1.9415074251737266e-05,201,0,0
23.366,1.989781125651236e-05,201,0,0
23.368,2.070996945270613e-05,201,0,0
23.37,2.178691390932165e-05,201,0,0
23.372,2.305228501159043e-05,201,0,0
23.374,2.442233968021968e-05,201,0,0
23.376,2.5810715951281423e-05,201,0,0
23.378,2.7133293355719862e-05,201,0,0
23.38,2.831279819839533e-05,201,0,0
23.382,2.9282826096997864e-05,201,0,0
23.384,2.999101600492629e-05,201,0,0
23.386,3.040119621346938e-05,201,0,0
